client_id,product_id,compatibility,feasible,selected,redundancy_group,group_kind,redundancy_group_limit,cov_operational,cov_decision,cov_value,cov_ecosystem,cov_temporal,cov_change,cov_capability,cov_capital
INS_C01,INS_P01,0.8199,True,True,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,True
INS_C01,INS_P03,0.7917,True,False,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,True
INS_C01,INS_P02,0.7637,True,False,INS_RG02,direct_substitute,1,False,True,True,True,True,True,True,True
INS_C01,INS_P08,0.2728,False,False,INS_RG01,close_alternatives,1,True,True,True,True,True,True,True,True
INS_C01,INS_P06,0.2624,False,False,INS_RG01,close_alternatives,1,True,True,True,True,True,True,True,True
INS_C01,INS_P04,0.2611,False,False,INS_RG01,close_alternatives,1,True,True,True,True,True,True,True,True
INS_C01,INS_P09,0.257,False,False,INS_RG01,close_alternatives,1,True,True,True,True,True,True,True,True
INS_C01,INS_P05,0.2511,False,False,INS_RG01,close_alternatives,1,False,True,True,True,True,True,True,True
INS_C01,INS_P07,0.2435,False,False,INS_RG01,close_alternatives,1,False,True,True,True,True,True,True,True
INS_C01,INS_P10,0.2332,False,False,INS_RG03,single,1,False,True,False,True,True,True,True,True
INS_C02,INS_P01,0.7937,True,True,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,True
INS_C02,INS_P03,0.7596,True,False,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,True
INS_C02,INS_P02,0.7188,True,False,INS_RG02,direct_substitute,1,False,True,False,True,True,True,True,True
INS_C02,INS_P09,0.2462,False,False,INS_RG01,close_alternatives,1,True,True,False,True,True,True,True,True
INS_C02,INS_P08,0.2434,False,False,INS_RG01,close_alternatives,1,True,True,True,True,True,True,True,True
INS_C02,INS_P04,0.2414,False,False,INS_RG01,close_alternatives,1,True,True,False,True,True,True,True,True
INS_C02,INS_P06,0.2395,False,False,INS_RG01,close_alternatives,1,True,True,False,True,True,True,True,True
INS_C02,INS_P05,0.2281,False,False,INS_RG01,close_alternatives,1,False,True,False,True,True,True,True,True
INS_C02,INS_P10,0.2244,False,False,INS_RG03,single,1,False,True,False,True,True,True,True,True
INS_C02,INS_P07,0.2189,False,False,INS_RG01,close_alternatives,1,False,True,False,True,True,True,True,True
INS_C03,INS_P03,0.7971,True,True,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,False
INS_C03,INS_P10,0.7943,True,True,INS_RG03,single,1,True,True,False,True,True,True,True,True
INS_C03,INS_P08,0.7215,True,True,INS_RG01,close_alternatives,1,True,True,False,True,True,True,True,False
INS_C03,INS_P01,0.755,True,False,INS_RG02,direct_substitute,1,True,True,True,True,True,True,True,False
INS_C03,INS_P02,0.7401,True,False,INS_RG02,direct_substitute,1,True,True,False,True,True,True,True,False
INS_C03,INS_P05,0.7065,True,False,INS_RG01,close_alternatives,1,True,True,False,True,True,True,True,False
